"Date","Open","High","Low","Close","Volume"
"05.01.2000","6585.85","6585.85","6388.91","6502.07","0"
"06.01.2000","6501.45","6539.31","6402.63","6474.92","0"
"07.01.2000","6489.94","6791.53","6470.14","6780.96","0"
"10.01.2000","6785.47","6975.26","6785.47","6925.52","0"
"11.01.2000","6926.04","6943.83","6821.26","6891.25","0"
"12.01.2000","6878.92","6913.5","6783.22","6912.81","0"
"13.01.2000","6913.13","7106.45","6898.69","6955.98","0"
"14.01.2000","6960.29","7207.45","6960.29","7173.22","0"
"17.01.2000","7177.48","7297.04","7112.97","7258.9","0"
"18.01.2000","7262.21","7306.48","7053.86","7072.12","0"
"19.01.2000","7065.31","7110.19","6987.12","7091.04","0"
"20.01.2000","7095.98","7230.75","7076.81","7112.66","0"
"21.01.2000","7103.7","7103.7","6939.94","6992.75","0"
"24.01.2000","6987.59","7092.5","6921.97","6931.99","0"
"25.01.2000","6928.08","6928.08","6809.64","6809.64","0"
"26.01.2000","6838.05","6980.93","6838.05","6969.37","0"
"27.01.2000","6983.42","7169.87","6944.65","7126.13","0"
"28.01.2000","7128.01","7214.58","7040.49","7066.6","0"
"31.01.2000","7054.24","7054.24","6816.54","6835.6","0"
"01.02.2000","6841.12","7052.22","6841.12","7050.46","0"
"02.02.2000","7063.57","7172.05","7038.71","7171.95","0"
"03.02.2000","7175.87","7354.56","7134.42","7354.26","0"
"04.02.2000","7355.69","7491.79","7338.15","7444.61","0"
"07.02.2000","7450.79","7450.79","7270.4","7296.32","0"
"08.02.2000","7295.61","7570.55","7263.19","7549.88","0"
"09.02.2000","7566.68","7676.56","7526.08","7629.11","0"
"10.02.2000","7617.07","7709.27","7496.42","7709.27","0"
"11.02.2000","7724.36","7812.09","7586.26","7611.55","0"
"14.02.2000","7569.01","7660.39","7542.3","7644.8","0"
"15.02.2000","7636.41","7699.97","7396.13","7396.13","0"
"16.02.2000","7401.26","7596.9","7342.65","7490.32","0"
"17.02.2000","7478.32","7637.46","7394.02","7580.53","0"
"18.02.2000","7584.39","7658.88","7543.5","7573.78","0"
"21.02.2000","7568.34","7590.53","7447.71","7590.53","0"
"22.02.2000","7580.38","7725.5","7540.36","7607.94","0"
"23.02.2000","7619.83","7772.28","7619.83","7698.97","0"
"24.02.2000","7696.92","7813.2","7587.08","7640.53","0"
"25.02.2000","7668.7","7776.84","7640.69","7738.68","0"
"28.02.2000","7732.9","7747.37","7492.23","7587.13","0"
"29.02.2000","7590.9","7700.36","7590.9","7644.55","0"
"01.03.2000","7645.3","7769.01","7618.6","7727.93","0"
"02.03.2000","7720.9","7950.66","7639.93","7945.77","0"
"03.03.2000","7952.28","8022.48","7874.57","7960.03","0"
"06.03.2000","7960.09","8030.59","7925.2","7975.78","0"
"07.03.2000","7971.23","8136.16","7922.32","8064.97","0"
"08.03.2000","8069.98","8097.68","7949.38","7987.0","0"
"09.03.2000","7984.21","8084.92","7877.19","7949.15","0"
"10.03.2000","7952.51","8076.31","7952.51","7975.95","0"
"13.03.2000","7977.06","7991.07","7630.31","7693.85","0"
"14.03.2000","7695.79","7757.03","7630.1","7650.05","0"
"15.03.2000","7633.2","7633.2","7411.76","7414.46","0"
"16.03.2000","7416.64","7648.28","7416.64","7583.96","0"
"17.03.2000","7594.99","7834.54","7574.52","7710.92","0"
"20.03.2000","7716.24","7887.97","7716.24","7872.38","0"
"21.03.2000","7865.48","7865.48","7735.74","7807.93","0"
"22.03.2000","7827.56","7949.72","7787.09","7798.62","0"
"23.03.2000","7803.69","7873.03","7677.08","7694.78","0"
"24.03.2000","7706.5","7932.42","7706.5","7932.42","0"
"27.03.2000","7932.71","7939.92","7832.06","7892.49","0"
"28.03.2000","7891.15","8031.21","7880.12","7931.93","0"
"29.03.2000","7930.82","7963.7","7859.44","7864.76","0"
"30.03.2000","7834.56","7849.53","7610.51","7644.89","0"
"31.03.2000","7649.88","7704.28","7522.7","7599.39","0"
"03.04.2000","7599.78","7641.53","7404.37","7429.22","0"
"04.04.2000","7431.42","7566.92","7430.18","7522.8","0"
"05.04.2000","7502.09","7538.72","7205.86","7330.77","0"
"06.04.2000","7345.01","7480.13","7325.72","7446.21","0"
"07.04.2000","7470.39","7533.36","7399.81","7522.2","0"
"10.04.2000","7534.91","7614.81","7507.93","7516.95","0"
"11.04.2000","7513.12","7513.12","7366.49","7442.66","0"
"12.04.2000","7438.26","7517.75","7414.38","7443.07","0"
"13.04.2000","7421.06","7450.39","7302.82","7449.06","0"
"14.04.2000","7440.05","7440.05","7168.9","7214.83","0"
"17.04.2000","7201.66","7201.66","6890.96","7187.14","0"
"18.04.2000","7186.18","7305.03","7094.92","7196.49","0"
"19.04.2000","7204.33","7305.94","7146.52","7216.71","0"
"20.04.2000","7216.22","7242.8","7157.95","7157.95","0"
"25.04.2000","7164.15","7317.06","7096.38","7280.51","0"
"26.04.2000","7293.1","7444.28","7293.1","7388.55","0"
"27.04.2000","7386.61","7413.82","7156.83","7221.74","0"
"28.04.2000","7223.27","7436.45","7223.27","7414.68","0"
"02.05.2000","7407.53","7561.67","7405.7","7555.92","0"
"03.05.2000","7547.91","7571.72","7362.75","7376.93","0"
"04.05.2000","7388.68","7419.74","7321.43","7386.71","0"
"05.05.2000","7391.62","7530.82","7333.48","7530.82","0"
"08.05.2000","7532.97","7532.97","7383.22","7408.09","0"
"09.05.2000","7407.89","7407.95","7225.18","7280.54","0"
"10.05.2000","7273.56","7313.27","7102.59","7120.86","0"
"11.05.2000","7111.28","7277.56","7013.7","7259.48","0"
"12.05.2000","7269.87","7331.03","7206.09","7269.28","0"
"15.05.2000","7266.08","7278.03","7188.25","7195.15","0"
"16.05.2000","7203.58","7398.48","7203.58","7371.06","0"
"17.05.2000","7370.18","7378.57","7197.83","7211.51","0"
"18.05.2000","7214.5","7258.61","7158.54","7181.58","0"
"19.05.2000","7182.46","7182.46","6958.92","6989.03","0"
"22.05.2000","6983.46","7040.57","6818.7","6912.96","0"
"23.05.2000","6918.93","7017.24","6883.39","6927.69","0"
"24.05.2000","6920.14","6920.14","6794.08","6834.88","0"
"25.05.2000","6846.37","6998.31","6846.37","6978.87","0"
"26.05.2000","6969.01","6972.21","6833.11","6839.33","0"
"29.05.2000","6956.14","7029.8","6956.14","7016.66","0"
"30.05.2000","7024.6","7150.5","7024.6","7119.26","0"
"31.05.2000","7127.26","7213.98","7101.14","7109.67","0"
"01.06.2000","7117.57","7277.52","7117.57","7272.76","0"
"02.06.2000","7286.19","7460.51","7246.17","7438.95","0"
"05.06.2000","7456.22","7486.4","7354.84","7408.02","0"
"06.06.2000","7404.78","7464.76","7298.23","7359.8","0"
"07.06.2000","7363.66","7363.66","7241.58","7285.93","0"
"08.06.2000","7293.74","7390.5","7211.97","7253.46","0"
"09.06.2000","7246.46","7354.32","7233.65","7246.79","0"
"12.06.2000","7251.29","7315.05","7224.72","7240.1","0"
"13.06.2000","7222.77","7307.34","7173.64","7268.91","0"
"14.06.2000","7292.77","7374.6","7251.23","7350.94","0"
"15.06.2000","7347.75","7388.24","7324.6","7328.62","0"
"16.06.2000","7344.44","7368.57","7246.77","7252.58","0"
"19.06.2000","7134.17","7225.34","7134.17","7198.8","0"
"20.06.2000","7207.59","7270.2","7201.88","7227.27","0"
"21.06.2000","7227.05","7240.01","7090.5","7100.09","0"
"22.06.2000","7112.15","7172.86","7028.34","7064.73","0"
"23.06.2000","7056.82","7081.58","6976.97","6980.41","0"
"26.06.2000","6986.89","7085.27","6975.07","7027.19","0"
"27.06.2000","7029.55","7064.44","6966.45","7048.96","0"
"28.06.2000","7050.84","7072.64","7010.67","7054.3","0"
"29.06.2000","7055.42","7058.0","6851.84","6881.94","0"
"30.06.2000","6882.94","6935.18","6866.85","6882.44","0"
"03.07.2000","6912.97","6962.02","6842.61","6962.02","0"
"04.07.2000","6958.4","6976.08","6881.14","6944.36","0"
"05.07.2000","6946.73","7090.11","6946.73","6961.73","0"
"06.07.2000","6947.21","6978.93","6905.24","6972.8","0"
"07.07.2000","6957.01","7051.06","6919.94","7044.77","0"
"10.07.2000","7052.68","7126.04","7031.33","7066.22","0"
"11.07.2000","7068.09","7069.49","6955.58","7006.05","0"
"12.07.2000","7015.84","7100.36","7011.68","7065.97","0"
"13.07.2000","7073.81","7178.45","7008.96","7166.51","0"
"14.07.2000","7193.23","7342.22","7173.42","7321.94","0"
"17.07.2000","7320.1","7430.7","7320.1","7430.7","0"
"18.07.2000","7417.02","7449.78","7355.31","7406.91","0"
"19.07.2000","7406.24","7406.24","7321.27","7366.57","0"
"20.07.2000","7364.64","7491.8","7303.91","7480.14","0"
"21.07.2000","7481.19","7503.32","7374.6","7378.86","0"
"24.07.2000","7377.98","7428.17","7314.2","7314.2","1000000"
"25.07.2000","7323.24","7358.64","7294.06","7329.46","1000000"
"26.07.2000","7330.14","7368.34","7250.22","7268.0","1000000"
"27.07.2000","7291.14","7333.02","7170.81","7183.44","1000000"
"28.07.2000","7188.63","7222.11","7076.37","7128.3","1000000"
"31.07.2000","7135.39","7251.88","7112.94","7190.37","1000000"
"01.08.2000","7194.03","7244.55","7094.93","7145.53","1000000"
"02.08.2000","7151.5","7197.32","7068.96","7112.45","1000000"
"03.08.2000","7113.08","7113.08","6954.6","7011.74","1000000"
"04.08.2000","7040.25","7112.97","7007.21","7016.59","1000000"
"07.08.2000","7020.65","7135.28","7020.65","7113.22","1000000"
"08.08.2000","7110.47","7194.22","7079.74","7143.96","1000000"
"09.08.2000","7129.7","7268.64","7129.7","7226.71","1000000"
"10.08.2000","7228.7","7318.94","7213.38","7280.97","1000000"
"11.08.2000","7289.26","7327.22","7225.03","7322.98","1000000"
"14.08.2000","7323.87","7369.01","7297.03","7331.67","1000000"
"15.08.2000","7336.73","7380.19","7276.04","7307.43","1000000"
"16.08.2000","7314.57","7363.64","7291.01","7315.27","1000000"
"17.08.2000","7320.69","7336.23","7214.68","7278.43","1000000"
"18.08.2000","7286.32","7320.61","7216.62","7232.42","1000000"
"21.08.2000","7233.74","7258.87","7147.15","7199.34","1000000"
"22.08.2000","7208.39","7282.21","7208.39","7249.2","1000000"
"23.08.2000","7257.34","7263.55","7157.85","7232.78","1000000"
"24.08.2000","7233.78","7279.2","7213.2","7230.26","1000000"
"25.08.2000","7232.37","7333.09","7232.37","7307.17","1000000"
"28.08.2000","7320.93","7395.81","7310.29","7339.22","1000000"
"29.08.2000","7342.04","7355.58","7277.17","7294.4","1000000"
